numero,cita_textual,libro
1,La verdadera causa de la felicidad es la paz interior.,Cómo transformar tu vida
2,"Si tenemos una mente apacible, seremos felices en todo momento.",Cómo transformar tu vida
3,Las condiciones externas solo nos hacen felices si tenemos una mente apacible.,Cómo transformar tu vida
4,El odio ha destruido nuestra paz interior.,Cómo transformar tu vida
5,La única manera de conseguirlo es adiestrar la mente con la práctica espiritual.,Cómo transformar tu vida
6,Todos tenemos en nuestro interior una fuente inagotable de paz y felicidad.,Cómo transformar tu vida
7,La felicidad es una parte de la mente que experimenta paz interior.,Nuevo ocho pasos hacia la felicidad
8,Nuestros problemas son problemas internos.,Nuevo ocho pasos hacia la felicidad
9,Los seres sintientes solo se sienten felices cuando experimentan una mente apacible.,Nuevo ocho pasos hacia la felicidad
10,Buda es la fuente de la felicidad de todos los seres sintientes.,Nuevo ocho pasos hacia la felicidad
11,Ha llegado el momento de buscar otra fuente de felicidad.,Nuevo ocho pasos hacia la felicidad
12,Ahora hemos de transformar nuestra mente.,Nuevo ocho pasos hacia la felicidad
13,Los estados mentales que producen paz interior y felicidad se denominan mentes virtuosas.,Nuevo ocho pasos hacia la felicidad
14,Que todos los seres sean felices.,Cómo transformar tu vida
15,Que todos los seres se liberen del sufrimiento.,Cómo transformar tu vida
16,Que nadie sea desposeído de su felicidad.,Cómo transformar tu vida
17,"Que todos los seres logren ecuanimidad, libres de odio y de apego.",Cómo transformar tu vida
18,Que la preciosa bodhichita suprema surja en quienes aún no haya nacido.,Tesoro de contemplación
19,"Y en quienes ha nacido que no degenere, sino que aumente sin cesar.",Tesoro de contemplación
20,"El oro es fácil de conseguir, pero la bodhichita no se puede comprar ni vender.",Tesoro de contemplación
21,La única manera de poseerla es cultivándola por medio de la meditación.,Tesoro de contemplación
22,Ahora es el momento de controlar nuestra mente con la bodhichita.,Tesoro de contemplación
23,Todos los objetos de la consciencia […] son como un sueño y una ilusión.,Tesoro de contemplación
24,No existen del modo en que aparecen ante la consciencia que los aprehende.,Tesoro de contemplación
25,Todos los fenómenos carecen de existencia verdadera.,Tesoro de contemplación
26,Todos los seres sintientes carecen de existencia verdadera y son como un sueño.,Tesoro de contemplación
27,La vacuidad es la ausencia de existencia inherente.,Océano de néctar
28,"Carecen por completo de existencia verdadera, como las ilusiones.",Océano de néctar
29,"Yo y todos los seres sintientes nos refugiamos en Buda, el Dharma y la Sangha.",Cómo transformar tu vida
30,Alcance el estado de Buda para poder beneficiar a todos los seres sintientes.,Cómo transformar tu vida
31,"Dharma, término que significa «protección».",Budismo moderno – Vol. 1: Sutra
32,El budismo es la práctica de las enseñanzas de Buda.,Budismo moderno – Vol. 1: Sutra
33,Poner en práctica el Dharma.,Budismo moderno – Vol. 1: Sutra
34,El logro de la iluminación es el verdadero significado de la vida humana.,Budismo moderno – Vol. 1: Sutra
35,La iluminación es la luz interior de la sabiduría.,Budismo moderno – Vol. 1: Sutra
36,"Las acciones perjudiciales producen sufrimiento; y las virtuosas, felicidad.",Budismo moderno – Vol. 1: Sutra
37,El origen de todos nuestros problemas diarios y sufrimiento es nuestro deseo incontrolado.,Budismo moderno – Vol. 1: Sutra
38,"Si pudiéramos controlar nuestros deseos, no habría ninguna base para experimentar estos problemas.",Budismo moderno – Vol. 1: Sutra
39,La práctica de refugio es la entrada al budismo.,El espejo del Dharma con texto ampliado
40,Necesitamos la liberación permanente de los sufrimientos.,El espejo del Dharma con texto ampliado
41,No debes apegarte a los disfrutes mundanos.,El espejo del Dharma con texto ampliado
42,El logro de la iluminación es el verdadero significado de la vida humana.,El espejo del Dharma con texto ampliado
43,"Sin paz interior, la paz externa es imposible.",Nuevo corazón de la sabiduría
44,Dharma significa «protección».,Nuevo corazón de la sabiduría
45,Todos nuestros problemas diarios se originan en la ignorancia.,Nuevo corazón de la sabiduría
46,El adiestramiento en el Dharma es el método supremo para mejorar nuestra calidad de vida.,Nuevo corazón de la sabiduría
47,"La mente se define como «aquello que es claridad y conoce».",Océano de néctar
48,"Méritos: Buena fortuna que se genera al realizar acciones virtuosas.",Océano de néctar
49,"Meditación estabilizada: Concentración convergente en un objeto virtuoso como la vacuidad.",Océano de néctar
50,"Bendición: Proceso de transformación de la mente.",Cómo comprender la mente
51,"Bodhichita aspirante: El deseo de alcanzar la iluminación.",Cómo comprender la mente
52,Todos los seres tienen el potencial de convertirse en un Buda.,Cómo comprender la mente
53,"Karma: Palabra sánscrita que significa «acción».",Cómo solucionar nuestros problemas humanos
54,Las acciones virtuosas producen como resultado felicidad.,Cómo solucionar nuestros problemas humanos
55,"Mantra: Palabra sánscrita que significa «protección de la mente».",Cómo solucionar nuestros problemas humanos
56,"Refugio: La verdadera protección del sufrimiento.",Cómo solucionar nuestros problemas humanos
57,"Compasión: Mente que no puede soportar que otros seres experimenten sufrimiento.",Las instrucciones orales del Mahamudra
58,La mente del aferramiento propio es el origen de todas las demás perturbaciones mentales.,Las instrucciones orales del Mahamudra
59,"Vacuidad: La carencia de existencia inherente.",Gema del corazón
60,"Si poseemos sabiduría, no hay base para experimentar problemas.",Gran tesoro de méritos
